2025-12-07 16:35:21.599852 | admin | Logged in
2025-12-07 16:37:26.867528 | admin | Logged in
2025-12-07 16:37:34.792869 | admin | Searched clients: r
2025-12-07 16:37:57.329933 | admin | Logged in
2025-12-07 16:38:00.052600 | admin | Searched clients: q
2025-12-07 16:38:13.340132 | admin | Logged in
2025-12-07 16:39:02.482937 | admin | Logged in
2025-12-07 16:39:12.746315 | admin | Encrypted clients.txt
2025-12-07 16:39:18.042510 | admin | Viewed clients.txt
2025-12-07 16:44:26.909348 | admin | Logged in
2025-12-07 16:44:58.924583 | admin | Logged in
2025-12-07 16:46:29.109399 | admin | Logged in
2025-12-07 16:46:43.202107 | admin | Logged in
2025-12-07 16:49:21.111497 | admin | Logged in
2025-12-07 16:49:47.910001 | admin | Logged in
2025-12-07 16:50:04.950316 | admin | Logged in
2025-12-07 16:50:14.144837 | admin | Viewed clients.txt
2025-12-07 16:50:18.513953 | admin | Encrypted clients.txt
2025-12-07 16:51:38.098359 | admin | Logged in
2025-12-07 16:51:50.138755 | admin | Viewed clients.txt
2025-12-07 16:51:56.689054 | admin | Decrypted clients.txt.enc
2025-12-07 16:54:49.620754 | admin | Logged out
2025-12-07 16:55:15.454004 | admin | Logged in
2025-12-07 16:55:36.971574 | admin | Decrypted clients.txt.enc
2025-12-07 16:55:53.908423 | admin | Decrypted clients.txt.enc
2025-12-07 16:58:08.037512 | JRizo | Logged in
2025-12-07 17:05:29.232704 | admin | Logged in
2025-12-07 17:06:37.073804 | admin | Logged in
2025-12-07 17:07:07.652173 | admin | Logged in
2025-12-07 17:13:43.538767 | admin | Logged in
2025-12-07 17:17:02.857768 | admin | Logged in
2025-12-07 17:17:10.469935 | admin | Encrypted Thor_Injury_Report.docx
2025-12-07 17:17:14.880765 | admin | Decrypted Thor_Injury_Report.docx.enc
2025-12-07 17:17:22.416298 | admin | Encrypted Thor_Injury_Report.docx
2025-12-07 17:17:59.145686 | admin | Decrypted Thor_Injury_Report.docx.enc
2025-12-07 17:18:02.220640 | admin | Encrypted Thor_Injury_Report.docx
2025-12-07 17:18:07.073235 | admin | Decrypted Thor_Injury_Report.docx.enc
2025-12-07 17:18:14.644938 | admin | Decrypted Thor_Injury_Report.docx.enc
2025-12-07 17:36:06.186209 | admin | Logged in
2025-12-07 17:36:32.929611 | admin | Encrypted SpongeBob_Health_Report_Sep_07_2025.txt
2025-12-07 17:36:37.299816 | admin | Viewed SpongeBob_Health_Report_Sep_07_2025.txt
2025-12-09 23:31:11.396736 | JRizo | Logged in
2025-12-09 23:31:37.884606 | JRizo | Encrypted SpongeBob_Health_Report_Sep_07_2025.txt
2025-12-09 23:34:40.003915 | JRizo | Logged in
2025-12-09 23:35:25.008729 | JRizo | Encrypted Batman_Health_Report_Oct_12_2025.txt
2025-12-09 23:36:12.624469 | JRizo | Decrypted Batman_Health_Report_Oct_12_2025.txt.enc
2025-12-09 23:36:20.894742 | JRizo | Viewed Batman_Health_Report_Oct_12_2025.txt
2025-12-09 23:37:20.620990 | JRizo | Encrypted SpongeBob_Health_Report_Sep_07_2025.txt
2025-12-09 23:39:53.651473 | JRizo | Logged in
2025-12-09 23:39:59.696424 | JRizo | Encrypted Med_History_Shrek.docx
2025-12-09 23:40:16.304377 | JRizo | Decrypted Med_History_Shrek.docx.enc
2025-12-09 23:43:37.338687 | JRizo | Logged in
2025-12-09 23:46:13.915549 | JRizo | Logged in
2025-12-09 23:46:44.746472 | JRizo | Encrypted Pikachu_Health_Report_Mar_11_2025.txt
2025-12-09 23:46:57.897282 | JRizo | Encrypted Med_History_Shrek.docx
2025-12-09 23:48:04.982688 | JRizo | Decrypted Med_History_Shrek.docx.enc
2025-12-09 23:48:12.439880 | JRizo | Decrypted Pikachu_Health_Report_Mar_11_2025.txt.enc
